"AS","ASC","NRC"
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6746
"negative",1,0.6533
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3502
"negative",1,0.6947
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6954
"negative",1,0.6831
"negative",1,0.343
"negative",1,0.3486
"negative",1,1
"positive",1,0.638298279794716
"neutral",0.6633,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6746,0
"negative",0.7069,0.3583
"positive",0.6641,0
"negative",1,1
"negative",1,0.6867
"negative",0.6598,0.6598
"neutral",0.6832,0
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6606
"negative",0.6832,0.6832
"negative",0.6652,0.3348
"positive",1,0.638298279794716
"negative",1,0.6317
"neutral",0.6915,0
"negative",1,1
"negative",1,1
"negative",1,0.6716
"negative",1,0.6404
"negative",1,0.3575
"neutral",0.6403,0
"negative",1,0.6915
"neutral",0.6685,0
"negative",1,1
"positive",0.6832,0
"neutral",0.6522,0
"negative",1,1
"negative",1,0.6781
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6452
"negative",0.6893,0.3495
"negative",1,0.6552
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3575
"negative",1,0.6309
"negative",1,0.3404
"positive",0.6842,0.638298279794716
"negative",1,0.3441
"negative",1,1
"negative",0.6559,0.3333
"negative",0.6684,0.6684
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6875,0.6875
"positive",1,0.638298279794716
"neutral",0.6565,0
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.3579
"neutral",0.7026,0
"neutral",0.6856,0
"negative",1,0.3608
"negative",1,0.687
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.6596,0
"negative",0.6591,0.6591
"negative",1,0.708
"neutral",1,0.638298279794716
"negative",1,0.6791
"negative",1,0.3467
"negative",1,0.6832
"neutral",1,0.638298279794716
"neutral",0.6582,0
"negative",1,0.3474
"negative",0.6297,0.6297
"negative",1,1
"positive",1,0.638298279794716
"positive",0.6711,0.638298279794716
"negative",1,0.6614
"neutral",1,0.638298279794716
"negative",1,0.3503
"negative",1,0.6733
"neutral",0.6204,0
"negative",1,0.344
"negative",1,0.7042
"negative",1,0.6804
"negative",1,0.6667
"negative",1,0.6754
"negative",1,1
"negative",1,1
"neutral",0.6508,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6544,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"neutral",0.355,0
"negative",1,1
"negative",0.6976,0.6976
"negative",1,1
"negative",1,0.3583
"negative",1,0.6923
"negative",1,0.6598
"negative",0.6871,0.6871
"positive",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6675
"negative",1,0.7021
"negative",1,0.6727
"negative",1,0.6586
"neutral",1,0.638298279794716
"positive",0.6522,0.638298279794716
"negative",1,0.3617
"negative",1,0.6677
"positive",0.6576,0.638298279794716
"negative",1,0.6552
"neutral",0.6709,0.638298279794716
"negative",1,1
"negative",0.6734,0.3573
"negative",1,1
"negative",1,1
"neutral",0.6796,0
"negative",0.6742,0.6742
"negative",1,1
"negative",1,1
"positive",0.6741,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",0.6875,0
"positive",1,0.638298279794716
"negative",1,0.6477
"negative",1,1
"negative",1,0.6701
"negative",1,0.6733
"negative",1,1
"negative",1,0.6722
"negative",1,1
"neutral",0.6633,0.638298279794716
"negative",0.6515,0.6515
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6889,0.3465
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6912
"negative",1,0.6808
"neutral",0.3466,0
"neutral",0.7069,0
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6808
"negative",1,1
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.3341
"negative",0.6882,0.3548
"negative",1,0.3616
"neutral",1,0.638298279794716
"negative",1,0.6684
"positive",1,0.638298279794716
"negative",1,0.3404
"negative",0.6777,0.6777
"positive",1,0.638298279794716
"positive",0.6608,0.638298279794716
"negative",1,0.6262
"positive",1,0.638298279794716
"negative",1,1
"positive",0.6452,0
"neutral",0.6383,0.638298279794716
"negative",1,0.3507
"negative",1,0.6517
"negative",1,1
"negative",1,0.6547
"neutral",1,0.638298279794716
"negative",1,1
"neutral",0.6267,0.638298279794716
"negative",1,0.6705
"negative",0.5918,0.5918
"negative",1,0.698
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6832,0.638298279794716
"negative",0.6635,0.6635
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",0.6481,0.6481
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6809
"negative",0.7067,0.7067
"negative",1,1
"positive",0.6681,0
"negative",0.6566,0.6566
"neutral",0.6735,0
"neutral",1,0.638298279794716
"negative",0.6937,0.6937
"neutral",0.6804,0
"neutral",0.6175,0
"negative",0.922,0.4513
"negative",1,0.661
"neutral",0.6591,0
"neutral",0.6815,0
"negative",0.6726,0.3429
"positive",1,0.638298279794716
"negative",1,1
"negative",0.6687,0.6687
"neutral",0.6565,0
"neutral",1,0.638298279794716
"negative",0.668,0.668
"negative",1,0.6563
"negative",1,1
"negative",1,1
"negative",1,1
"negative",0.6776,0.6776
"negative",1,0.6871
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6455,0.6455
"neutral",1,0.638298279794716
"negative",1,0.7113
"negative",1,0.7008
"negative",0.6908,0.3477
"negative",1,0.6633
"negative",1,1
"negative",1,0.6286
"neutral",0.6799,0
"negative",1,0.6594
"neutral",1,0.638298279794716
"negative",1,0.6629
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6705
"positive",0.668,0.638298279794716
"negative",1,0.6669
"negative",1,0.6669
"negative",0.6771,0.3537
"negative",1,0.346
"negative",0.6866,0.6866
"negative",1,0.6747
"negative",1,0.6704
"negative",1,0.68
"negative",1,1
"negative",1,0.6769
"negative",1,0.68
"neutral",0.6831,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6809,0
"negative",0.687,0.687
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6845
"negative",1,0.3407
"negative",1,0.6768
"negative",1,1
"negative",1,1
"negative",1,0.3587
"negative",0.7141,0.7141
"neutral",0.6814,0.638298279794716
"neutral",0.6709,0
"negative",1,0.6572
"negative",1,0.6831
"negative",1,0.6863
"negative",1,1
"negative",1,0.671
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3659
"negative",1,0.6598
"negative",1,1
"negative",1,0.704
"negative",0.6925,0.3733
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.6749
"negative",1,1
"negative",0.6988,0.3695
"negative",1,0.6563
"negative",1,0.7052
"negative",1,0.6765
"neutral",1,0.638298279794716
"negative",1,0.658
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.6761
"neutral",0.6433,0.638298279794716
"negative",1,0.6559
"positive",0.6526,0.638298279794716
"negative",1,0.6989
"negative",0.6694,0.3779
"neutral",0.6485,0
"negative",1,1
"negative",0.6856,0.3593
"negative",1,0.6848
"negative",1,0.6632
"negative",1,0.661
"positive",0.6701,0.638298279794716
"negative",1,0.6613
"negative",1,1
"positive",0.65,0.638298279794716
"neutral",0.6742,0.638298279794716
"negative",1,0.3711
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"positive",0.6715,0
"negative",1,1
"negative",0.6702,0.6702
"negative",1,0.6632
"negative",0.6639,0.6639
"negative",1,0.3608
"negative",1,0.3593
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.3644
"negative",1,0.6697
"positive",1,0.638298279794716
"negative",1,0.6559
"negative",1,0.6706
"positive",0.6634,0.638298279794716
"negative",1,1
"negative",0.6976,0.3573
"positive",0.6703,0.638298279794716
"positive",0.6565,0.638298279794716
"negative",1,1
"neutral",0.6291,0
"negative",0.6368,0.3255
"negative",1,0.3638
"negative",1,0.3392
"positive",0.6563,0
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"positive",0.3548,0
"positive",1,0.638298279794716
"negative",1,0.6762
"negative",1,0.3537
"positive",1,0.638298279794716
"negative",1,0.3597
"negative",1,1
"negative",1,1
"neutral",0.7028,0
"negative",1,0.6568
"negative",0.6983,0.6983
"neutral",1,0.638298279794716
"negative",1,0.6452
"neutral",0.3681,0
"negative",0.3404,0.3404
"neutral",0.6458,0
"neutral",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6877,0.3576
"negative",1,0.6566
"positive",0.6598,0.638298279794716
"positive",0.6712,0
"neutral",1,0.638298279794716
"neutral",0.6733,0
"negative",1,1
"negative",1,0.6682
"negative",1,0.6533
"neutral",1,0.638298279794716
"neutral",0.6522,0
"negative",1,0.7
"neutral",1,0.638298279794716
"negative",1,0.3667
"positive",0.6806,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.3457
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6559
"negative",1,1
"negative",1,0.6579
"negative",0.3401,0.3401
"negative",1,1
"negative",1,0.3659
"positive",0.6488,0.638298279794716
"negative",0.6872,0.6872
"negative",1,0.6699
"neutral",0.6473,0
"neutral",1,0.638298279794716
"negative",0.701,0.701
"negative",1,0.6476
"negative",0.6579,0.6579
"negative",1,0.6869
"negative",0.6528,0.328
"negative",1,0.6781
"negative",0.6906,0.3457
"negative",0.6854,0.3483
"negative",1,0.6747
"negative",0.6316,0.6316
"negative",1,1
"negative",0.6632,0.3368
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6561
"negative",0.6515,0.6515
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.6804
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",0.7044,0.7044
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.7069,0.3583
"neutral",1,0.638298279794716
"negative",1,0.6663
"negative",1,1
"negative",1,1
"negative",1,0.6474
"positive",0.6842,0
"negative",1,0.6578
"neutral",0.6614,0
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6967
"negative",1,1
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6854
"positive",0.6632,0
"positive",0.6544,0.638298279794716
"neutral",0.6714,0
"negative",1,0.6949
"negative",1,0.3663
"negative",1,0.6515
"positive",0.6639,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6664
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",0.6507,0
"negative",1,0.6188
"negative",1,1
"negative",1,0.3445
"neutral",0.6525,0
"neutral",1,0.638298279794716
"neutral",0.6667,0
"negative",0.6723,0.3594
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.6628,0.3466
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6768
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"positive",0.6779,0
"negative",0.6806,0.3551
"neutral",1,0.638298279794716
"negative",0.7036,0.7036
"positive",1,0.638298279794716
"negative",1,0.6557
"neutral",0.6571,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6968
"neutral",1,0.638298279794716
"negative",0.6489,0.3298
"positive",0.6669,0
"negative",1,0.3626
"negative",1,0.6619
"negative",0.6479,0.6479
"negative",1,0.3636
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6364
"negative",0.6856,0.3458
"negative",0.657,0.657
"negative",0.6619,0.6619
"positive",1,0.638298279794716
"negative",1,0.687
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6726
"negative",1,1
"negative",0.6481,0.3351
"neutral",0.6554,0
"negative",1,0.6863
"negative",1,1
"negative",1,1
"negative",1,0.6657
"negative",1,0.6381
"positive",0.663,0.638298279794716
"neutral",0.6859,0
"negative",0.6614,0.6614
"negative",1,0.6426
"positive",0.6915,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6842
"negative",0.6553,0.3401
"negative",1,0.3474
"negative",1,1
"negative",0.6658,0.6658
"neutral",1,0.638298279794716
"negative",1,0.6842
"neutral",0.6969,0
"neutral",1,0.638298279794716
"negative",0.7084,0.3618
"negative",1,0.6377
"negative",1,0.6933
"negative",1,0.6933
"negative",0.6545,0.3477
"positive",1,0.638298279794716
"negative",0.6949,0.3681
"negative",1,1
"neutral",0.6737,0
"negative",1,1
"negative",0.6381,0.6381
"negative",1,0.7237
"negative",1,0.7185
"neutral",0.698,0
"neutral",0.6691,0
"positive",1,0.638298279794716
"negative",1,0.6332
"neutral",0.3748,0
"positive",1,0.638298279794716
"neutral",0.6955,0
"neutral",1,0.638298279794716
"negative",1,0.6556
"positive",1,0.638298279794716
"negative",1,1
"negative",0.6192,0.6192
"negative",1,0.351
"negative",0.6629,0.336
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.66,0
"negative",1,1
"negative",1,0.6667
"negative",1,0.6782
"neutral",0.662,0.638298279794716
"negative",1,0.6813
"negative",1,1
"negative",1,0.6753
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.6652
"negative",1,0.6847
"neutral",0.6781,0
"positive",0.6904,0
"negative",1,0.6775
"negative",1,0.3573
"negative",1,1
"negative",1,0.6816
"negative",1,0.668
"negative",1,0.3481
"neutral",0.6355,0.638298279794716
"neutral",0.6862,0.638298279794716
"neutral",0.6842,0
"negative",0.6635,0.3481
"neutral",0.7041,0.638298279794716
"negative",0.6508,0.3535
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6701,0.3402
"neutral",0.6667,0.638298279794716
"neutral",0.6511,0
"negative",0.6485,0.3384
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6818,0.6818
"negative",1,1
"negative",1,0.3696
"negative",1,0.6939
"positive",0.6354,0.638298279794716
"negative",0.6267,0.6267
"negative",0.6598,0.3608
"neutral",0.6825,0
"negative",1,0.6927
"positive",1,0.638298279794716
"negative",1,0.6749
"neutral",0.7168,0.638298279794716
"positive",0.6246,0.638298279794716
"negative",0.6328,0.324
"negative",1,0.7017
"neutral",0.3512,0
"negative",1,1
"negative",1,0.6526
"negative",1,0.6848
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3444
"negative",1,1
"neutral",0.6538,0
"neutral",1,0.638298279794716
"negative",1,0.3512
"negative",1,0.6726
"negative",1,1
"negative",1,0.6335
"negative",1,0.6806
"negative",1,0.3459
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.3608
"negative",1,0.6292
"neutral",0.6889,0
"negative",1,1
"negative",1,0.7124
"negative",0.6899,0.3798
"positive",0.6559,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.3365
"negative",1,0.6458
"negative",1,1
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"positive",0.6667,0.638298279794716
"neutral",0.657,0
"negative",0.6436,0.3445
"neutral",0.6529,0
"negative",1,0.6702
"negative",0.6838,0.3419
"negative",1,1
"positive",1,0.638298279794716
"negative",0.664,0.664
"negative",0.6633,0.3367
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6383,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6405,0
"positive",1,0.638298279794716
"negative",1,1
"negative",0.6304,0.6304
"positive",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.672,0
"neutral",0.699,0.638298279794716
"negative",0.6634,0.3366
"negative",0.6538,0.3336
"positive",1,0.638298279794716
"negative",0.7118,0.3667
"negative",1,0.6485
"neutral",0.6416,0
"neutral",0.6452,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6827,0
"positive",0.6364,0
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.6497,0.638298279794716
"negative",0.6737,0.6737
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.663,0.663
"neutral",1,0.638298279794716
"negative",1,0.3461
"neutral",0.6923,0
"negative",1,0.6647
"negative",1,1
"positive",0.6753,0.638298279794716
"negative",1,1
"negative",1,0.6987
"positive",0.653,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6525,0.638298279794716
"negative",1,0.3441
"negative",1,0.6531
"positive",0.6667,0
"negative",0.3546,0.3546
"positive",0.6737,0
"positive",1,0.638298279794716
"negative",0.6556,0.3333
"neutral",0.6655,0
"negative",0.6855,0.346
"neutral",1,0.638298279794716
"negative",1,0.6701
"negative",1,1
"neutral",0.6484,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6966
"negative",0.6534,0.6534
"neutral",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",0.6632,0.6632
"neutral",0.6413,0.638298279794716
"negative",1,0.6733
"positive",0.3626,0
"negative",1,1
"positive",0.6889,0
"negative",1,0.6606
"positive",0.7076,0
"neutral",0.6465,0
"positive",1,0.638298279794716
"negative",0.6309,0.3251
"negative",1,0.6783
"negative",1,0.69
"negative",0.7171,0.7171
"negative",1,0.684
"negative",1,0.3366
"negative",1,1
"negative",1,1
"negative",1,0.3434
"positive",0.6617,0.638298279794716
"negative",0.6842,0.6842
"negative",1,1
"negative",0.6598,0.3608
"neutral",0.6593,0
"negative",1,0.6739
"negative",1,1
"negative",1,1
"negative",0.6678,0.3381
"negative",0.6667,0.6667
"negative",1,0.65
"negative",1,0.6629
"neutral",1,0.638298279794716
"negative",1,0.7021
"negative",1,1
"negative",1,1
"positive",0.6769,0.638298279794716
"negative",1,0.6778
"neutral",1,0.638298279794716
"negative",1,0.6752
"negative",1,0.6518
"negative",0.7047,0.7047
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6871,0.3552
"negative",1,0.6639
"negative",1,0.6861
"negative",0.6632,0.6632
"negative",1,0.6677
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6495
"negative",1,0.655
"negative",1,0.3556
"positive",1,0.638298279794716
"negative",1,0.3478
"negative",1,0.6481
"negative",0.6621,0.6621
"positive",1,0.638298279794716
"negative",0.6735,0.6735
"negative",1,1
"negative",1,1
"negative",1,0.6803
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6225
"negative",0.6639,0.3706
"negative",1,1
"negative",1,0.6606
"positive",0.6771,0.638298279794716
"positive",0.6768,0
"negative",1,1
"negative",1,0.6458
"negative",1,1
"negative",1,0.3752
"positive",1,0.638298279794716
"negative",1,0.6704
"negative",0.6409,0.6409
"negative",1,1
"negative",0.6368,0.6368
"negative",1,1
"negative",1,0.3471
"negative",1,0.352
"neutral",0.672,0
"negative",1,0.6526
"negative",1,0.6733
"negative",0.6578,0.6578
"positive",1,0.638298279794716
"neutral",0.6651,0
"positive",1,0.638298279794716
"neutral",0.6944,0
"negative",1,0.6559
"negative",1,0.6775
"neutral",0.6701,0
"negative",1,0.3443
"negative",1,1
"negative",1,1
"negative",0.3654,0.3654
"negative",1,0.3557
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",0.647,0.638298279794716
"negative",1,0.6571
"negative",1,0.3626
"negative",1,1
"negative",0.6459,0.323
"negative",1,1
"neutral",0.653,0
"positive",0.701,0.638298279794716
"negative",0.6838,0.6838
"positive",1,0.638298279794716
"negative",1,0.3548
"negative",1,1
"negative",1,0.6558
"positive",0.6705,0
"negative",1,1
"negative",1,0.3441
"neutral",0.6764,0.638298279794716
"negative",1,1
"negative",1,0.3492
"neutral",1,0.638298279794716
"negative",1,0.6737
"negative",1,0.6484
"negative",1,0.6341
"negative",1,0.7093
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6496
"negative",1,1
"negative",0.6606,0.6606
"negative",1,0.6747
"positive",0.6458,0
"neutral",1,0.638298279794716
"negative",1,0.6658
"negative",0.7113,0.3814
"negative",1,1
"negative",1,0.6902
"negative",1,0.35
"negative",0.6988,0.6988
"negative",0.7044,0.3771
"positive",1,0.638298279794716
"negative",0.6551,0.3356
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6729
"positive",0.352,0
"negative",0.7024,0.7024
"negative",0.6771,0.6771
"negative",1,0.6821
"negative",0.6735,0.3469
"neutral",0.6437,0
"negative",1,1
"neutral",0.6774,0
"negative",1,1
"negative",1,0.3874
"positive",1,0.638298279794716
"negative",0.6484,0.3407
"negative",1,1
"negative",1,1
"negative",1,0.6737
"negative",1,1
"positive",0.6809,0
"negative",1,0.6701
"negative",0.6465,0.6465
"negative",1,0.6508
"negative",1,0.6846
"negative",1,0.3566
"negative",1,0.6577
"negative",0.6987,0.6987
"neutral",0.7008,0.638298279794716
"negative",1,0.6486
"negative",0.657,0.657
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6793,0
"neutral",0.6366,0.638298279794716
"neutral",0.669,0
"negative",1,0.3448
"negative",1,1
"negative",1,0.6567
"negative",1,1
"negative",0.6786,0.3563
"neutral",1,0.638298279794716
"negative",1,0.3715
"positive",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"negative",0.701,0.701
"neutral",0.6842,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",0.6837,0.3673
"positive",1,0.638298279794716
"neutral",0.6953,0
"negative",1,0.6772
"negative",0.7065,0.3587
"neutral",0.6567,0
"negative",1,0.6621
"negative",1,0.6696
"negative",0.6222,0.6222
"negative",1,0.6904
"positive",0.6889,0.638298279794716
"negative",1,0.6838
"negative",0.6421,0.3368
"negative",1,0.6632
"negative",1,0.3593
"negative",0.6386,0.6386
"neutral",1,0.638298279794716
"negative",1,0.6786
"negative",1,0.3384
"positive",1,0.638298279794716
"negative",1,0.6421
"negative",1,1
"negative",0.6622,0.3328
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.343
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6816
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",0.6743,0
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6754,0.638298279794716
"negative",1,0.3516
"negative",1,1
"negative",1,1
"negative",0.6915,0.6915
"negative",1,0.6688
"neutral",0.6768,0
"negative",1,1
"negative",1,1
"negative",1,0.6471
"neutral",1,0.638298279794716
"negative",0.6869,0.3541
"negative",1,0.6959
"neutral",0.6558,0
"neutral",1,0.638298279794716
"positive",0.6632,0
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6633
"negative",0.6434,0.3529
"negative",1,0.3579
"negative",1,0.6863
"neutral",0.3449,0
"negative",1,1
"negative",0.6485,0.6485
"negative",1,0.7021
"negative",1,0.6442
"negative",1,0.6917
"negative",0.6774,0.3763
"negative",1,0.7135
"negative",1,0.3841
"negative",1,1
"negative",1,1
"negative",1,0.6579
"negative",1,0.6947
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6675
"negative",0.3452,0.3452
"negative",0.686,0.686
"neutral",0.6475,0
"negative",1,1
"negative",1,1
"negative",0.6722,0.3364
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6696
"neutral",1,0.638298279794716
"positive",0.6367,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,0.6447
"neutral",1,0.638298279794716
"negative",1,0.6649
"negative",0.6356,0.3355
"negative",1,1
"negative",1,1
"negative",1,0.6809
"positive",0.6301,0
"negative",1,1
"positive",0.669,0
"negative",1,1
"negative",1,1
"negative",1,0.6939
"neutral",0.6388,0.638298279794716
"negative",1,1
"positive",0.6842,0
"neutral",0.6611,0
"negative",1,1
"negative",1,0.3516
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",0.6632,0.3684
"negative",1,0.67
"negative",0.7067,0.7067
"negative",1,0.367
"negative",1,0.3556
"negative",1,0.6537
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.656
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6926
"negative",1,0.3476
"neutral",0.6688,0
"negative",1,1
"neutral",0.6931,0
"negative",1,1
"negative",1,0.6519
"negative",0.66,0.66
"neutral",0.7223,0
"positive",0.6996,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6584
"neutral",0.6729,0
"negative",1,1
"negative",1,0.6828
"negative",1,0.6818
"neutral",0.6563,0
"positive",1,0.638298279794716
"negative",0.6915,0.6915
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6372,0
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.3419
"negative",1,0.3612
"negative",1,1
"negative",0.6484,0.3407
"positive",1,0.638298279794716
"negative",1,0.3518
"neutral",0.6268,0
"neutral",0.6466,0
"negative",1,0.6826
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6553
"negative",1,1
"negative",1,0.6559
"negative",0.6566,0.6566
"negative",1,0.6285
"neutral",0.6837,0.638298279794716
"negative",1,1
"negative",0.6369,0.6369
"positive",0.6857,0
"negative",1,1
"negative",1,0.6826
"positive",1,0.638298279794716
"neutral",0.6863,0
"negative",1,1
"negative",1,0.7027
"positive",1,0.638298279794716
"positive",0.6307,0
"negative",1,1
"negative",1,1
"negative",1,0.6668
"neutral",0.617,0
"negative",1,0.3444
"positive",1,0.638298279794716
"positive",0.656,0.638298279794716
"negative",1,1
"negative",1,0.6444
"negative",1,0.6985
"neutral",0.6771,0
"neutral",0.6327,0
"negative",1,1
"negative",1,0.3568
"negative",0.686,0.686
"negative",0.6695,0.3356
"negative",1,1
"negative",1,0.6667
"negative",1,1
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6886
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,1
"negative",1,0.6522
"negative",0.6537,0.6537
"negative",1,1
"negative",1,0.6906
"negative",0.6317,0.6317
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6392
"negative",1,1
"negative",1,0.6612
"negative",0.6673,0.3345
"negative",1,1
"negative",1,0.6616
"negative",1,1
"negative",1,0.7055
"negative",1,0.696
"negative",1,1
"negative",1,1
"negative",0.6782,0.3678
"negative",0.6907,0.6907
"negative",1,0.6655
"negative",1,1
"negative",1,0.6367
"negative",1,1
"negative",0.6736,0.3539
"negative",1,1
"negative",0.6808,0.3559
"positive",1,0.638298279794716
"positive",0.6661,0.638298279794716
"neutral",0.6954,0
"negative",1,1
"negative",1,0.339
