"kmeans1","kmeans2"
0.6674,0.6674
0.656,NA
1,0.6484
1,0.6344
1,1
1,0.6806
1,0.3578
1,0.6716
0.6259,0
1,0.6295
1,0.6714
1,NA
1,0.6907
1,1
1,NA
1,0.6171
0.6641,0
0.6465,0.6465
1,1
0.6571,0.3399
1,NA
0.6904,0
1,NA
1,0.3453
1,1
1,1
0.6805,0
1,NA
1,1
1,1
0.6672,NA
1,0.6737
1,0.63
1,NA
1,NA
1,1
1,0.3432
1,1
0.6814,0
1,0.6561
0.6236,0.3277
0.6854,0
1,1
1,0.657
1,0.3462
1,1
1,0.6566
0.6831,0.3569
1,1
1,1
1,1
1,NA
0.6196,0
1,0.3513
1,1
1,0.3535
1,NA
0.6522,NA
1,0.6961
1,0.3512
1,1
1,0.684
1,1
1,0.3626
0.6325,0
1,NA
0.6565,0.3539
1,0.6882
1,0.6677
0.7053,0.3789
1,0.6955
0.6787,NA
1,0.6571
1,0.6913
1,NA
0.6533,0
1,1
0.6809,NA
1,NA
1,1
1,0.3483
1,1
1,1
1,0.6891
1,NA
1,1
1,0.6739
1,NA
0.6308,0
1,0.6817
1,1
1,1
1,0.6854
0.6651,0
1,1
1,NA
1,1
1,0.6633
0.66,0.34
1,1
1,0.7057
1,NA
1,1
0.6854,0.3708
1,0.6513
1,0.6513
1,NA
1,0.6596
0.6509,0
1,1
1,0.6559
0.6435,0.6435
1,0.6951
1,1
1,0.6821
0.6744,0.3375
1,0.6733
1,0.3627
1,0.6712
0.6522,0
1,1
0.6533,NA
1,1
1,NA
1,1
1,1
1,0.3449
0.6452,0.3441
1,0.3579
0.3402,0.3402
1,1
1,0.65
0.6574,NA
1,0.3571
1,NA
0.7077,0.3649
1,0.6563
1,NA
0.3367,0
0.6661,NA
1,0.6718
1,1
1,1
1,NA
1,1
1,1
0.6687,0.3575
1,NA
1,0.3455
1,NA
1,NA
1,0.65
1,1
1,1
1,1
1,NA
1,0.6421
1,1
1,0.353
1,0.6809
0.7125,0.7125
1,1
1,NA
0.358,0
1,1
1,1
1,NA
0.6316,0
0.6821,0.3487
1,1
0.643,0
1,0.6539
1,1
1,1
0.7065,0
0.9286,0.9286
1,NA
0.6737,NA
1,1
0.3444,0
1,0.684
1,0.6631
1,0.6402
0.635,0.3221
1,NA
1,1
0.6492,0.3304
1,0.3556
1,NA
0.6768,0
1,1
0.6729,0.6729
1,NA
0.3366,0
1,NA
1,1
1,0.3712
1,1
1,0.6707
1,0.645
1,1
0.6729,0
1,0.7075
0.6437,NA
0.6741,NA
1,1
1,1
0.6487,0
1,1
1,1
0.7047,0
1,NA
0.66,0
1,0.6784
0.6813,NA
0.6424,0.6424
0.6517,0.3371
0.6679,NA
1,0.6729
0.365,0
1,0.6469
0.6685,0.6685
1,0.708
1,0.3516
0.6197,0.6197
1,0.6753
1,1
1,NA
1,0.6941
1,0.6736
1,NA
0.6655,0.6655
1,0.6723
0.6721,0.3619
0.6696,0.34
1,1
0.3469,0.3469
1,1
1,0.6621
1,0.6408
1,0.6638
0.671,0.671
0.6793,0
1,1
1,0.3684
1,0.3417
1,0.6484
1,0.6652
1,0.6667
0.68,NA
0.6276,0.6276
1,1
1,0.6768
0.6923,0
0.7028,NA
1,0.6634
1,1
1,0.3521
1,0.3411
1,0.6635
1,0.6785
1,0.3564
1,0.6787
1,1
1,0.6667
1,0.6636
1,NA
1,NA
1,0.6523
1,NA
0.6477,0
1,NA
0.6487,0
1,NA
0.6436,NA
1,0.6727
0.6634,0.3465
1,0.66
1,1
0.7027,0.7027
1,NA
1,0.7027
1,0.6737
1,0.3636
1,1
1,0.6706
1,1
1,0.6589
1,NA
0.3627,0.3627
1,NA
0.6299,0.3423
1,1
1,0.6774
0.68,0.68
1,NA
0.6644,0
1,1
1,0.6593
1,0.6646
1,0.3551
1,1
1,1
1,1
1,NA
1,1
1,0.6392
1,NA
1,0.6589
0.7087,NA
1,0.6817
1,1
1,1
1,0.6513
1,0.6489
1,0.6464
1,0.3705
1,0.3796
1,0.6758
0.6842,0.6842
0.6883,0.35
0.6479,0.3464
0.6334,0.3342
1,NA
1,1
1,0.6646
1,NA
1,0.6523
1,1
0.6421,0.3368
1,0.6536
1,1
0.6559,0.3441
0.689,NA
1,1
1,1
1,NA
0.6688,0.3526
0.6842,NA
0.6924,NA
1,1
1,NA
1,1
0.6696,0
1,NA
1,NA
0.6556,0.3444
0.705,0.705
0.6735,NA
1,1
1,1
0.664,0.3423
1,0.6689
1,0.3404
1,1
1,NA
1,0.6774
0.3646,0
1,1
0.6533,0.3436
0.626,0
1,1
1,NA
1,1
1,0.6437
0.7,0.36
1,1
0.6333,0.3222
1,NA
1,1
1,NA
1,0.393
1,NA
0.6531,NA
1,1
1,NA
0.6685,0.3405
1,1
1,NA
1,1
0.6813,0
1,0.6222
1,1
0.7021,NA
1,0.6415
0.6514,0.6514
1,0.3404
1,1
0.6765,0.3431
1,0.7014
0.6501,0.6501
1,1
1,0.6804
1,0.6939
1,NA
0.3505,0
1,0.6651
1,1
0.6652,0.6652
1,0.6473
0.6498,0.6498
1,NA
0.6721,0.3376
0.669,0
0.6497,NA
1,0.6776
0.6667,NA
1,1
1,NA
1,NA
1,0.6632
1,0.7172
0.6814,0
1,0.6374
0.6907,NA
1,0.7128
1,1
1,NA
0.6667,0
1,0.6968
0.6848,NA
1,0.6806
1,1
1,NA
1,1
1,NA
1,0.6731
1,0.6738
1,0.3379
0.6713,0.3531
0.6899,0.6899
0.6613,0.6613
1,1
1,1
1,1
1,1
0.6911,NA
1,NA
1,NA
0.6749,NA
1,0.6603
1,0.6492
1,1
1,0.6989
0.6966,0.6966
1,0.6602
1,NA
0.6531,0
1,NA
0.6417,0.6417
0.6871,0
0.6679,0.3447
1,0.3437
1,0.3642
1,0.3407
1,0.6322
1,0.657
1,NA
1,NA
1,1
1,0.3657
0.6804,NA
0.7053,0.7053
1,NA
1,1
0.6444,0.6444
0.6421,0.6421
1,0.3864
1,1
1,0.695
1,NA
1,1
1,1
1,0.6436
1,NA
0.6849,0
0.6963,0
1,0.3499
1,NA
1,1
1,1
1,1
1,0.6752
1,0.6714
1,NA
1,1
1,1
1,NA
1,1
1,0.6742
0.6651,0
1,0.6889
0.6566,NA
0.6481,0.3351
1,0.6495
0.6848,0.6848
1,1
0.6537,0.329
1,0.6493
1,NA
0.636,0.324
1,1
1,NA
1,0.6805
0.343,0
1,NA
1,0.3748
1,0.6436
0.6889,0
0.7055,0.3748
1,0.6579
1,0.3434
1,1
1,0.3404
1,NA
1,1
0.685,0.3586
1,NA
1,1
1,0.7075
0.3511,0.3511
1,0.6378
0.684,0.3499
1,0.684
1,1
1,0.3407
0.6942,0.3702
1,NA
1,1
1,1
1,1
1,1
0.6735,0
1,1
0.7118,0.3667
1,0.6656
1,NA
1,NA
0.6842,0.6842
1,1
1,NA
1,1
1,0.6329
1,1
1,0.6526
1,NA
1,0.6619
1,1
0.6633,0.3367
1,NA
0.6878,0.3541
1,0.6657
1,0.6154
1,0.697
1,NA
1,NA
1,NA
1,1
1,0.6907
1,1
1,NA
1,1
0.6778,0.6778
0.6755,NA
1,1
1,0.6285
0.665,0.335
0.7008,0
0.68,NA
1,0.3404
1,1
0.6202,NA
0.3414,0
1,0.6582
1,1
1,NA
1,0.3617
0.6718,0.3435
1,1
0.7129,0.7129
1,1
1,NA
1,0.6739
0.7112,0.3581
0.6795,0.3441
1,0.6722
1,0.6701
0.6772,0
1,0.6478
1,0.3503
1,NA
1,NA
1,NA
1,0.3467
1,1
1,NA
1,NA
1,0.6578
1,0.6458
0.688,0
1,NA
1,1
0.7246,NA
1,0.6806
0.6491,0
0.661,0
0.6706,0.6706
1,0.6383
1,1
1,0.6503
0.6869,0.3434
0.6561,NA
1,0.662
1,NA
1,NA
1,NA
1,0.6522
1,0.648
1,0.3438
1,1
1,0.672
1,NA
1,1
0.6747,0.3477
1,0.6632
1,NA
1,1
0.6639,0.3706
1,NA
1,NA
0.6972,0.6972
1,1
1,NA
0.6628,NA
1,1
1,NA
1,NA
1,0.6644
1,NA
1,1
1,NA
0.6583,0.6583
0.6588,0.3294
1,NA
0.6743,0.3423
1,NA
1,0.6842
1,1
0.6799,0.6799
1,NA
0.6545,0.3306
1,NA
0.642,0.642
1,0.6407
0.7087,0.3707
1,0.6591
1,1
0.6706,0.3412
0.6639,0
1,0.674
0.6838,0
0.7034,0
0.6733,0.6733
1,0.3437
1,0.6774
0.6531,0.6531
1,NA
1,NA
1,0.3586
1,0.6593
1,0.6804
1,0.6806
1,0.6787
1,1
1,0.3763
1,NA
1,1
1,1
1,NA
0.6907,NA
0.6718,0.6718
1,NA
1,NA
1,NA
0.6667,0.6667
0.6889,NA
1,0.6333
0.6717,0
0.7185,NA
1,0.6739
0.3375,0
1,1
1,NA
0.6374,0
1,1
1,0.7016
1,0.6663
1,NA
0.6699,NA
0.3569,0
1,0.3608
1,NA
1,NA
1,1
0.6527,0.3395
1,NA
1,NA
0.6458,NA
1,NA
1,0.3555
1,1
1,NA
1,0.6406
0.6651,NA
1,0.3594
1,0.6495
1,NA
0.656,0.3555
1,0.663
0.683,0.3525
1,1
1,1
1,1
1,1
1,0.6746
1,0.6533
1,1
1,1
1,NA
1,0.3502
1,0.6947
1,1
1,1
1,NA
1,0.6954
1,0.6831
1,0.343
1,0.3486
1,1
1,NA
0.6633,NA
1,NA
0.6746,0
0.7069,0.3583
0.6641,0
1,1
1,0.6867
0.6598,0.6598
0.6832,0
1,1
1,NA
1,0.6606
0.6832,0.6832
0.6652,0.3348
1,NA
1,0.6317
0.6915,0
1,1
1,1
1,0.6716
1,0.6404
1,0.3575
0.6403,0
1,0.6915
0.6685,0
1,1
0.6832,0
0.6522,0
1,1
1,0.6781
1,1
1,NA
1,0.6452
0.6893,0.3495
1,0.6552
1,1
1,1
1,NA
1,0.3575
1,0.6309
1,0.3404
0.6842,NA
1,0.3441
1,1
0.6559,0.3333
0.6684,0.6684
1,1
1,NA
0.6875,0.6875
1,NA
0.6565,0
1,NA
1,1
1,0.3579
0.7026,0
0.6856,0
1,0.3608
1,0.687
1,1
1,NA
0.6596,0
0.6591,0.6591
1,0.708
1,NA
1,0.6791
1,0.3467
1,0.6832
1,NA
0.6582,0
1,0.3474
0.6297,0.6297
1,1
1,NA
0.6711,NA
1,0.6614
1,NA
1,0.3503
1,0.6733
0.6204,0
1,0.344
1,0.7042
1,0.6804
1,0.6667
1,0.6754
1,1
1,1
0.6508,NA
1,NA
1,NA
0.6544,NA
1,NA
1,1
0.355,0
1,1
0.6976,0.6976
1,1
1,0.3583
1,0.6923
1,0.6598
0.6871,0.6871
1,NA
1,1
1,NA
1,0.6675
1,0.7021
1,0.6727
1,0.6586
1,NA
0.6522,NA
1,0.3617
1,0.6677
0.6576,NA
1,0.6552
0.6709,NA
1,1
0.6734,0.3573
1,1
1,1
0.6796,0
0.6742,0.6742
1,1
1,1
0.6741,NA
1,NA
1,1
1,1
0.6875,0
1,NA
1,0.6477
1,1
1,0.6701
1,0.6733
1,1
1,0.6722
1,1
0.6633,NA
0.6515,0.6515
1,NA
1,NA
0.6889,0.3465
1,NA
1,1
1,0.6912
1,0.6808
0.3466,0
0.7069,0
1,1
1,1
1,1
1,1
1,1
1,0.6808
1,1
1,1
1,1
1,NA
1,0.3341
0.6882,0.3548
1,0.3616
1,NA
1,0.6684
1,NA
1,0.3404
0.6777,0.6777
1,NA
0.6608,NA
1,0.6262
1,NA
1,1
0.6452,0
0.6383,NA
1,0.3507
1,0.6517
1,1
1,0.6547
1,NA
1,1
0.6267,NA
1,0.6705
0.5918,0.5918
1,0.698
1,NA
1,NA
0.6832,NA
0.6635,0.6635
1,NA
1,1
1,1
0.6481,0.6481
1,NA
1,NA
1,0.6809
0.7067,0.7067
1,1
0.6681,0
0.6566,0.6566
0.6735,0
1,NA
0.6937,0.6937
0.6804,0
0.6175,0
0.922,0.4513
1,0.661
0.6591,0
0.6815,0
0.6726,0.3429
1,NA
1,1
0.6687,0.6687
0.6565,0
1,NA
0.668,0.668
1,0.6563
1,1
1,1
1,1
0.6776,0.6776
1,0.6871
1,NA
1,NA
0.6455,0.6455
1,NA
1,0.7113
1,0.7008
0.6908,0.3477
1,0.6633
1,1
1,0.6286
0.6799,0
1,0.6594
1,NA
1,0.6629
1,NA
1,1
1,NA
1,0.6705
0.668,NA
1,0.6669
1,0.6669
0.6771,0.3537
1,0.346
0.6866,0.6866
1,0.6747
1,0.6704
1,0.68
1,1
1,0.6769
1,0.68
0.6831,NA
1,1
1,NA
1,NA
0.6809,0
0.687,0.687
1,1
1,NA
1,0.6845
1,0.3407
1,0.6768
1,1
1,1
1,0.3587
0.7141,0.7141
0.6814,NA
0.6709,0
1,0.6572
1,0.6831
1,0.6863
1,1
1,0.671
1,NA
1,1
1,1
1,NA
1,0.3659
1,0.6598
1,1
1,0.704
0.6925,0.3733
1,NA
1,1
1,1
1,0.6749
1,1
0.6988,0.3695
1,0.6563
1,0.7052
1,0.6765
1,NA
1,0.658
1,1
1,NA
1,1
1,0.6761
0.6433,NA
1,0.6559
0.6526,NA
1,0.6989
0.6694,0.3779
0.6485,0
1,1
0.6856,0.3593
1,0.6848
1,0.6632
1,0.661
0.6701,NA
1,0.6613
1,1
0.65,NA
0.6742,NA
1,0.3711
1,1
1,1
1,1
1,1
1,1
0.6715,0
1,1
0.6702,0.6702
1,0.6632
0.6639,0.6639
1,0.3608
1,0.3593
1,1
1,1
1,1
1,0.3644
1,0.6697
1,NA
1,0.6559
1,0.6706
0.6634,NA
1,1
0.6976,0.3573
0.6703,NA
0.6565,NA
1,1
0.6291,0
0.6368,0.3255
1,0.3638
1,0.3392
0.6563,0
1,1
1,1
1,NA
1,NA
1,NA
1,NA
1,1
0.3548,0
1,NA
1,0.6762
1,0.3537
1,NA
1,0.3597
1,1
1,1
0.7028,0
1,0.6568
0.6983,0.6983
1,NA
1,0.6452
0.3681,0
0.3404,0.3404
0.6458,0
1,NA
1,1
1,NA
1,1
1,NA
0.6877,0.3576
1,0.6566
0.6598,NA
0.6712,0
1,NA
0.6733,0
1,1
1,0.6682
1,0.6533
1,NA
0.6522,0
1,0.7
1,NA
1,0.3667
0.6806,NA
1,NA
1,NA
1,1
1,0.3457
1,NA
1,NA
1,NA
1,NA
1,1
1,0.6559
1,1
1,0.6579
0.3401,0.3401
1,1
1,0.3659
0.6488,NA
0.6872,0.6872
1,0.6699
0.6473,0
1,NA
0.701,0.701
1,0.6476
0.6579,0.6579
1,0.6869
0.6528,0.328
1,0.6781
0.6906,0.3457
0.6854,0.3483
1,0.6747
0.6316,0.6316
1,1
0.6632,0.3368
1,1
1,NA
1,0.6561
0.6515,0.6515
1,NA
1,1
1,1
1,0.6804
1,NA
1,NA
1,1
0.7044,0.7044
1,1
1,NA
0.7069,0.3583
1,NA
1,0.6663
1,1
1,1
1,0.6474
0.6842,0
1,0.6578
0.6614,0
1,1
1,1
1,NA
1,0.6967
1,1
1,NA
1,NA
1,0.6854
0.6632,0
0.6544,NA
0.6714,0
1,0.6949
1,0.3663
1,0.6515
0.6639,NA
1,1
1,NA
1,NA
1,0.6664
1,NA
1,NA
1,NA
1,1
1,1
1,NA
1,1
1,1
0.6507,0
1,0.6188
1,1
1,0.3445
0.6525,0
1,NA
0.6667,0
0.6723,0.3594
1,1
1,NA
1,1
1,NA
0.6628,0.3466
1,NA
1,NA
1,NA
1,0.6768
1,1
1,1
1,NA
1,1
0.6779,0
0.6806,0.3551
1,NA
0.7036,0.7036
1,NA
1,0.6557
0.6571,NA
1,NA
1,0.6968
1,NA
0.6489,0.3298
0.6669,0
1,0.3626
1,0.6619
0.6479,0.6479
1,0.3636
1,1
1,1
1,1
1,NA
1,0.6364
0.6856,0.3458
0.657,0.657
0.6619,0.6619
1,NA
1,0.687
1,NA
1,NA
1,0.6726
1,1
0.6481,0.3351
0.6554,0
1,0.6863
1,1
1,1
1,0.6657
1,0.6381
0.663,NA
0.6859,0
0.6614,0.6614
1,0.6426
0.6915,NA
1,NA
1,NA
1,0.6842
0.6553,0.3401
1,0.3474
1,1
0.6658,0.6658
1,NA
1,0.6842
0.6969,0
1,NA
0.7084,0.3618
1,0.6377
1,0.6933
1,0.6933
0.6545,0.3477
1,NA
0.6949,0.3681
1,1
0.6737,0
1,1
0.6381,0.6381
1,0.7237
1,0.7185
0.698,0
0.6691,0
1,NA
1,0.6332
0.3748,0
1,NA
0.6955,0
1,NA
1,0.6556
1,NA
1,1
0.6192,0.6192
1,0.351
0.6629,0.336
1,NA
1,NA
0.66,0
1,1
1,0.6667
1,0.6782
0.662,NA
1,0.6813
1,1
1,0.6753
1,NA
1,1
1,0.6652
1,0.6847
0.6781,0
0.6904,0
1,0.6775
1,0.3573
1,1
1,0.6816
1,0.668
1,0.3481
0.6355,NA
0.6862,NA
0.6842,0
0.6635,0.3481
0.7041,NA
0.6508,0.3535
1,1
1,NA
0.6701,0.3402
0.6667,NA
0.6511,0
0.6485,0.3384
1,NA
1,NA
1,NA
1,NA
0.6818,0.6818
1,1
1,0.3696
1,0.6939
0.6354,NA
0.6267,0.6267
0.6598,0.3608
0.6825,0
1,0.6927
1,NA
1,0.6749
0.7168,NA
0.6246,NA
0.6328,0.324
1,0.7017
0.3512,0
1,1
1,0.6526
1,0.6848
1,1
1,NA
1,0.3444
1,1
0.6538,0
1,NA
1,0.3512
1,0.6726
1,1
1,0.6335
1,0.6806
1,0.3459
1,1
1,1
1,1
1,NA
1,0.3608
1,0.6292
0.6889,0
1,1
1,0.7124
0.6899,0.3798
0.6559,NA
1,NA
1,0.3365
1,0.6458
1,1
1,NA
1,NA
1,NA
1,1
1,NA
1,1
0.6667,NA
0.657,0
0.6436,0.3445
0.6529,0
1,0.6702
0.6838,0.3419
1,1
1,NA
0.664,0.664
0.6633,0.3367
1,1
1,NA
1,NA
0.6383,NA
1,NA
0.6405,0
1,NA
1,1
0.6304,0.6304
1,NA
1,1
1,NA
0.672,0
0.699,NA
0.6634,0.3366
0.6538,0.3336
1,NA
0.7118,0.3667
1,0.6485
0.6416,0
0.6452,NA
1,NA
1,NA
1,NA
0.6827,0
0.6364,0
1,1
1,NA
0.6497,NA
0.6737,0.6737
1,NA
1,NA
0.663,0.663
1,NA
1,0.3461
0.6923,0
1,0.6647
1,1
0.6753,NA
1,1
1,0.6987
0.653,NA
1,NA
0.6525,NA
1,0.3441
1,0.6531
0.6667,0
0.3546,0.3546
0.6737,0
1,NA
0.6556,0.3333
0.6655,0
0.6855,0.346
1,NA
1,0.6701
1,1
0.6484,NA
1,NA
1,NA
1,0.6966
0.6534,0.6534
1,NA
1,1
1,NA
0.6632,0.6632
0.6413,NA
1,0.6733
0.3626,0
1,1
0.6889,0
1,0.6606
0.7076,0
0.6465,0
1,NA
0.6309,0.3251
1,0.6783
1,0.69
0.7171,0.7171
1,0.684
1,0.3366
1,1
1,1
1,0.3434
0.6617,NA
0.6842,0.6842
1,1
0.6598,0.3608
0.6593,0
1,0.6739
1,1
1,1
0.6678,0.3381
0.6667,0.6667
1,0.65
1,0.6629
1,NA
1,0.7021
1,1
1,1
0.6769,NA
1,0.6778
1,NA
1,0.6752
1,0.6518
0.7047,0.7047
1,1
1,NA
1,NA
0.6871,0.3552
1,0.6639
1,0.6861
0.6632,0.6632
1,0.6677
1,NA
1,NA
1,1
1,1
1,1
1,0.6495
1,0.655
1,0.3556
1,NA
1,0.3478
1,0.6481
0.6621,0.6621
1,NA
0.6735,0.6735
1,1
1,1
1,0.6803
1,1
1,NA
1,0.6225
0.6639,0.3706
1,1
1,0.6606
0.6771,NA
0.6768,0
1,1
1,0.6458
1,1
1,0.3752
1,NA
1,0.6704
0.6409,0.6409
1,1
0.6368,0.6368
1,1
1,0.3471
1,0.352
0.672,0
1,0.6526
1,0.6733
0.6578,0.6578
1,NA
0.6651,0
1,NA
0.6944,0
1,0.6559
1,0.6775
0.6701,0
1,0.3443
1,1
1,1
0.3654,0.3654
1,0.3557
1,1
1,1
1,1
0.647,NA
1,0.6571
1,0.3626
1,1
0.6459,0.323
1,1
0.653,0
0.701,NA
0.6838,0.6838
1,NA
1,0.3548
1,1
1,0.6558
0.6705,0
1,1
1,0.3441
0.6764,NA
1,1
1,0.3492
1,NA
1,0.6737
1,0.6484
1,0.6341
1,0.7093
1,1
1,NA
1,0.6496
1,1
0.6606,0.6606
1,0.6747
0.6458,0
1,NA
1,0.6658
0.7113,0.3814
1,1
1,0.6902
1,0.35
0.6988,0.6988
0.7044,0.3771
1,NA
0.6551,0.3356
1,NA
1,NA
1,0.6729
0.352,0
0.7024,0.7024
0.6771,0.6771
1,0.6821
0.6735,0.3469
0.6437,0
1,1
0.6774,0
1,1
1,0.3874
1,NA
0.6484,0.3407
1,1
1,1
1,0.6737
1,1
0.6809,0
1,0.6701
0.6465,0.6465
1,0.6508
1,0.6846
1,0.3566
1,0.6577
0.6987,0.6987
0.7008,NA
1,0.6486
0.657,0.657
1,NA
1,NA
0.6793,0
0.6366,NA
0.669,0
1,0.3448
1,1
1,0.6567
1,1
0.6786,0.3563
1,NA
1,0.3715
1,NA
1,1
1,NA
1,1
0.701,0.701
0.6842,NA
1,NA
1,1
0.6837,0.3673
1,NA
0.6953,0
1,0.6772
0.7065,0.3587
0.6567,0
1,0.6621
1,0.6696
0.6222,0.6222
1,0.6904
0.6889,NA
1,0.6838
0.6421,0.3368
1,0.6632
1,0.3593
0.6386,0.6386
1,NA
1,0.6786
1,0.3384
1,NA
1,0.6421
1,1
0.6622,0.3328
1,NA
1,NA
1,0.343
1,NA
1,1
1,0.6816
1,1
1,1
1,1
0.6743,0
1,NA
1,NA
0.6754,NA
1,0.3516
1,1
1,1
0.6915,0.6915
1,0.6688
0.6768,0
1,1
1,1
1,0.6471
1,NA
0.6869,0.3541
1,0.6959
0.6558,0
1,NA
0.6632,0
1,NA
1,1
1,1
1,1
1,0.6633
0.6434,0.3529
1,0.3579
1,0.6863
0.3449,0
1,1
0.6485,0.6485
1,0.7021
1,0.6442
1,0.6917
0.6774,0.3763
1,0.7135
1,0.3841
1,1
1,1
1,0.6579
1,0.6947
1,NA
1,1
1,NA
1,1
1,0.6675
0.3452,0.3452
0.686,0.686
0.6475,0
1,1
1,1
0.6722,0.3364
1,NA
1,1
1,0.6696
1,NA
0.6367,NA
1,1
1,1
1,0.6447
1,NA
1,0.6649
0.6356,0.3355
1,1
1,1
1,0.6809
0.6301,0
1,1
0.669,0
1,1
1,1
1,0.6939
0.6388,NA
1,1
0.6842,0
0.6611,0
1,1
1,0.3516
1,1
1,1
1,NA
1,1
0.6632,0.3684
1,0.67
0.7067,0.7067
1,0.367
1,0.3556
1,0.6537
1,1
1,NA
1,1
1,NA
1,0.656
1,1
1,1
1,1
1,1
1,0.6926
1,0.3476
0.6688,0
1,1
0.6931,0
1,1
1,0.6519
0.66,0.66
0.7223,0
0.6996,NA
1,1
1,NA
1,0.6584
0.6729,0
1,1
1,0.6828
1,0.6818
0.6563,0
1,NA
0.6915,0.6915
1,NA
1,NA
1,NA
0.6372,0
1,1
1,NA
1,1
1,0.3419
1,0.3612
1,1
0.6484,0.3407
1,NA
1,0.3518
0.6268,0
0.6466,0
1,0.6826
1,NA
1,NA
1,0.6553
1,1
1,0.6559
0.6566,0.6566
1,0.6285
0.6837,NA
1,1
0.6369,0.6369
0.6857,0
1,1
1,0.6826
1,NA
0.6863,0
1,1
1,0.7027
1,NA
0.6307,0
1,1
1,1
1,0.6668
0.617,0
1,0.3444
1,NA
0.656,NA
1,1
1,0.6444
1,0.6985
0.6771,0
0.6327,0
1,1
1,0.3568
0.686,0.686
0.6695,0.3356
1,1
1,0.6667
1,1
1,NA
1,1
1,0.6886
1,1
1,1
1,1
1,1
1,0.6522
0.6537,0.6537
1,1
1,0.6906
0.6317,0.6317
1,NA
1,NA
1,0.6392
1,1
1,0.6612
0.6673,0.3345
1,1
1,0.6616
1,1
1,0.7055
1,0.696
1,1
1,1
0.6782,0.3678
0.6907,0.6907
1,0.6655
1,1
1,0.6367
1,1
0.6736,0.3539
1,1
0.6808,0.3559
1,NA
0.6661,NA
0.6954,0
1,1
1,0.339
1,NA
0.6596,0
1,0.6929
1,0.6701
1,0.6882
0.6484,0.3297
0.6632,0
1,1
1,NA
1,1
1,0.3446
1,0.6317
1,0.6359
0.6957,0.6957
0.6722,NA
1,0.6553
1,1
0.6471,NA
1,0.3544
1,NA
1,NA
1,NA
0.7083,0
1,0.6442
1,NA
1,0.6473
1,NA
0.66,0.33
1,0.6815
1,1
1,1
0.6714,0.6714
0.6801,0
0.6663,NA
1,NA
1,0.6432
0.3666,0
1,NA
0.6479,0
1,1
1,NA
1,NA
0.6531,0
1,0.6559
1,1
1,0.6542
1,0.6406
1,NA
1,1
0.6767,0
1,0.6998
1,0.667
1,NA
0.6635,0
1,NA
1,1
0.6464,0
1,0.645
1,1
1,0.6598
1,NA
1,0.3333
1,0.6594
1,1
1,1
0.6957,NA
1,0.6296
1,NA
0.6523,0
1,1
1,1
1,1
1,0.6544
1,NA
1,NA
1,1
0.6667,0.3542
1,1
1,1
1,1
0.6641,0.6641
0.6571,0
1,1
1,NA
0.6544,0.6544
1,0.3423
0.663,NA
1,0.6684
1,0.6786
1,1
1,1
0.6522,NA
0.6598,0
1,0.6882
1,NA
1,0.7007
1,0.6652
1,0.6789
1,NA
1,1
1,1
0.6533,0.6533
1,1
1,1
0.6691,0.3523
1,1
0.6703,0.3626
1,0.3571
1,0.6481
0.6633,0.6633
0.6596,0
0.65,0.65
1,0.7139
1,0.6489
0.6526,0.3579
1,0.7077
1,0.3516
1,0.6901
0.6906,0
1,0.6806
1,0.6404
0.6642,0.3494
1,0.6701
1,0.3437
1,NA
1,1
1,0.6524
0.6697,0
1,NA
0.6526,NA
1,0.6725
1,0.6667
1,0.3429
0.6566,0
1,0.6716
1,1
0.6792,NA
1,1
0.6452,0
1,1
1,1
1,NA
1,1
1,0.7055
1,1
1,0.6854
1,1
1,NA
0.6756,0.6756
0.6756,0
0.6581,0.6581
0.6752,0
1,NA
0.6632,0
0.6872,NA
1,0.3654
1,0.7206
0.6631,0
0.6637,0
1,1
0.6806,NA
1,1
0.6577,NA
1,NA
1,1
1,NA
1,1
1,0.6875
0.7097,0
1,NA
1,NA
1,1
1,0.7033
1,0.6812
1,0.3463
1,0.6806
0.6995,0
1,0.3487
0.3456,0.3456
0.6919,0
1,NA
0.6702,NA
1,1
0.7109,0.3609
1,1
1,1
0.6496,0.3416
0.6579,0.3344
1,0.6701
1,0.3587
1,1
1,0.3469
1,1
1,NA
1,0.7073
1,NA
0.6579,0
1,0.7098
1,1
1,NA
1,0.6752
1,0.3611
0.6337,0.6337
1,0.6797
1,0.3545
1,1
1,0.6707
1,1
1,0.346
1,0.6624
0.6361,0.6361
1,1
0.6443,NA
1,1
1,1
1,0.6761
1,0.6784
1,1
1,NA
1,NA
1,NA
1,0.6667
0.6825,NA
1,0.3438
0.6809,NA
0.6681,0
1,NA
1,NA
0.6787,0
0.6374,0.3297
1,NA
1,0.6465
1,NA
0.7004,NA
0.7015,0
1,NA
1,0.3723
0.3511,0
1,NA
1,1
1,NA
1,0.702
1,NA
0.6477,0.3295
0.6456,0
1,1
0.6526,0.3684
1,NA
1,0.3525
1,NA
1,0.6691
0.627,0.627
1,NA
1,NA
1,NA
1,NA
1,0.6606
1,1
0.673,0
0.6655,0
0.345,0
1,NA
1,0.6736
1,1
0.6699,0
1,NA
0.7,0.3667
1,1
1,1
0.6508,0.3601
1,1
0.7024,0.7024
1,0.6411
0.6746,NA
1,0.3542
1,1
0.651,0.651
1,1
1,NA
0.6806,0
1,0.6481
0.6542,NA
0.69,0.69
1,0.3485
1,1
1,NA
1,1
0.67,0
1,0.6764
1,1
1,NA
